epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.3408273458480835,9.999999747378752e-06,0.20227620005607605,0.433682918548584,0.15804855525493622,0.3049568831920624,0.2965642213821411,0.39453125,0.10883620381355286
1,0.357721745967865,9.999999747378752e-06,0.17784440517425537,0.4622395932674408,0.15983791649341583,0.2489224076271057,0.3609926104545593,0.29329609870910645,0.11314655095338821
2,0.38451147079467773,9.999999747378752e-06,0.16193470358848572,0.5030508637428284,0.1670418679714203,0.24676723778247833,0.38567402958869934,0.25298330187797546,0.1142241358757019
3,0.3957676589488983,9.999999747378752e-06,0.15103305876255035,0.5094212889671326,0.17041872441768646,0.2521551847457886,0.3686017096042633,0.2819148898124695,0.1142241358757019
4,0.3930661976337433,9.999999747378752e-06,0.1422530859708786,0.5430107712745667,0.1819000393152237,0.2284482717514038,0.40105926990509033,0.23113207519054413,0.10560344904661179
5,0.41130122542381287,9.999999747378752e-06,0.1385038048028946,0.5522486567497253,0.18797838687896729,0.24461206793785095,0.3765336871147156,0.2717948853969574,0.1142241358757019
6,0.4245835244655609,4.999999873689376e-06,0.1279298961162567,0.5829567313194275,0.203286811709404,0.24784483015537262,0.37138059735298157,0.28244274854660034,0.11961206793785095
7,0.43471407890319824,4.999999873689376e-06,0.12636928260326385,0.5861399173736572,0.2037370502948761,0.2392241358757019,0.3713868260383606,0.2683544158935547,0.1142241358757019
8,0.4324628412723541,4.999999873689376e-06,0.12706847488880157,0.5822868347167969,0.19833408296108246,0.25,0.36303797364234924,0.27913278341293335,0.11099138110876083
9,0.4403421878814697,4.999999873689376e-06,0.11653988063335419,0.6137281060218811,0.20531292259693146,0.2381465584039688,0.3759632408618927,0.2819148898124695,0.1142241358757019
10,0.4468707740306854,4.999999873689376e-06,0.1152477040886879,0.5970341563224792,0.20846465229988098,0.24353447556495667,0.37256455421447754,0.28381961584091187,0.1153017207980156
11,0.44484466314315796,2.499999936844688e-06,0.10863561928272247,0.6265822649002075,0.22287258505821228,0.2586206793785095,0.3625222146511078,0.30563002824783325,0.12284483015537262
12,0.447771281003952,2.499999936844688e-06,0.11216385662555695,0.6200130581855774,0.21341738104820251,0.2521551847457886,0.36385735869407654,0.3045822083950043,0.12176723778247833
