epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.32868704199790955,9.999999747378752e-06,0.20298337936401367,0.3965517282485962,0.24409283697605133
1,0.3343088626861572,9.999999747378752e-06,0.19541515409946442,0.3987068831920624,0.24415268003940582
2,0.33048176765441895,9.999999747378752e-06,0.19300584495067596,0.4073275923728943,0.24130259454250336
3,0.33656010031700134,9.999999747378752e-06,0.19972975552082062,0.4137931168079376,0.23840954899787903
4,0.3460153043270111,9.999999747378752e-06,0.18951469659805298,0.4170258641242981,0.2393157184123993
5,0.3406123220920563,9.999999747378752e-06,0.1944093406200409,0.4137931168079376,0.2389048933982849
6,0.34443944692611694,9.999999747378752e-06,0.1976407915353775,0.42456895112991333,0.23733243346214294
7,0.3406123220920563,9.999999747378752e-06,0.1867665946483612,0.42133620381355286,0.23771311342716217
8,0.33836108446121216,9.999999747378752e-06,0.19239118695259094,0.42241379618644714,0.2389926016330719
9,0.3415128290653229,9.999999747378752e-06,0.1951587051153183,0.42025861144065857,0.23831701278686523
10,0.3442143201828003,9.999999747378752e-06,0.1907072514295578,0.4256465435028076,0.23624315857887268
11,0.3408374488353729,9.999999747378752e-06,0.19689635932445526,0.42025861144065857,0.23663710057735443
12,0.3554705083370209,9.999999747378752e-06,0.18902023136615753,0.42456895112991333,0.23690442740917206
13,0.36064836382865906,9.999999747378752e-06,0.1894853264093399,0.4299568831920624,0.23595592379570007
14,0.33971184492111206,9.999999747378752e-06,0.1879727691411972,0.4288793206214905,0.23762322962284088
15,0.34488970041275024,9.999999747378752e-06,0.19100487232208252,0.4267241358757019,0.23842324316501617
16,0.3493921756744385,9.999999747378752e-06,0.18415354192256927,0.4256465435028076,0.23722153902053833
17,0.35434490442276,9.999999747378752e-06,0.18544594943523407,0.4267241358757019,0.23975971341133118
18,0.34398919343948364,9.999999747378752e-06,0.19804294407367706,0.4288793206214905,0.2377498596906662
19,0.35141828656196594,4.999999873689376e-06,0.19290314614772797,0.4353448152542114,0.2362304925918579
20,0.34669068455696106,4.999999873689376e-06,0.18851442635059357,0.4267241358757019,0.2379937767982483
21,0.3556956350803375,4.999999873689376e-06,0.1907699853181839,0.4288793206214905,0.23874153196811676
22,0.3511931598186493,4.999999873689376e-06,0.19299569725990295,0.43211206793785095,0.23832935094833374
23,0.3464655578136444,4.999999873689376e-06,0.18943625688552856,0.43103447556495667,0.23854802548885345
24,0.3428635895252228,2.499999936844688e-06,0.18601201474666595,0.43211206793785095,0.23721346259117126
25,0.3534443974494934,2.499999936844688e-06,0.18803246319293976,0.43318966031074524,0.2366204559803009
