epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4804406464099884,9.999999747378752e-06,0.9579715728759766,0.4450431168079376,0.8410340547561646
1,0.5022512674331665,9.999999747378752e-06,0.7744710445404053,0.4806034564971924,0.7742162942886353
2,0.5463755130767822,9.999999747378752e-06,0.6871567368507385,0.5107758641242981,0.7963026762008667
3,0.5493021011352539,9.999999747378752e-06,0.6451550126075745,0.53125,0.7804073095321655
4,0.5742908716201782,9.999999747378752e-06,0.5925866961479187,0.524784505367279,0.7636104226112366
5,0.5965781211853027,9.999999747378752e-06,0.5415837168693542,0.5355603694915771,0.7693818211555481
6,0.6118865609169006,9.999999747378752e-06,0.5178140997886658,0.5420258641242981,0.7656465768814087
7,0.625619113445282,9.999999747378752e-06,0.4675861895084381,0.5280172228813171,0.742607831954956
8,0.6494821906089783,9.999999747378752e-06,0.4271329641342163,0.5301724076271057,0.7532399296760559
9,0.6683925986289978,9.999999747378752e-06,0.4011240303516388,0.5420258641242981,0.7627909183502197
10,0.6828005313873291,9.999999747378752e-06,0.36681732535362244,0.537715494632721,0.7679811716079712
11,0.7023863196372986,9.999999747378752e-06,0.33366793394088745,0.5549569129943848,0.7760093212127686
12,0.7242233157157898,2.9999998787388904e-06,0.3048994243144989,0.5258620977401733,0.7802110910415649
13,0.7359297871589661,2.9999998787388904e-06,0.29369059205055237,0.53125,0.7875904440879822
14,0.7462854385375977,2.9999998787388904e-06,0.27559396624565125,0.5269396305084229,0.8055024147033691
15,0.7528140544891357,2.9999998787388904e-06,0.26683273911476135,0.5431034564971924,0.7999584078788757
