epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.5123651027679443,9.999999747378752e-05,5.447336196899414,0.5711187124252319,0.41434353590011597,0.4676724076271057,1.9272452592849731,0.49436795711517334,0.4256465435028076
1,0.5684376358985901,9.999999747378752e-05,4.737217426300049,0.6385902166366577,0.4813147187232971,0.49461206793785095,1.8502907752990723,0.5160890817642212,0.4493534564971924
2,0.6276451945304871,9.999999747378752e-05,4.356042385101318,0.6985465288162231,0.5409725308418274,0.5129310488700867,1.7282406091690063,0.5477178692817688,0.4267241358757019
3,0.6753714680671692,9.999999747378752e-05,3.9822192192077637,0.7412921190261841,0.5941017270088196,0.5075430870056152,1.694087266921997,0.5358126759529114,0.41918104887008667
4,0.7233228087425232,9.999999747378752e-05,3.64750599861145,0.77625572681427,0.6506078243255615,0.5,1.751980185508728,0.5349143743515015,0.4375
5,0.7624943852424622,9.999999747378752e-05,3.436582565307617,0.8116206526756287,0.7012606859207153,0.5,1.9348297119140625,0.5279187560081482,0.4482758641242981
6,0.8027915358543396,9.999999747378752e-05,3.209913730621338,0.8504481315612793,0.7476361989974976,0.5032327771186829,1.81210196018219,0.5316622853279114,0.4342672526836395
7,0.8318325281143188,9.999999747378752e-05,3.055899143218994,0.875564455986023,0.7856821417808533,0.47521552443504333,1.8628510236740112,0.5074024200439453,0.40625
8,0.8502926826477051,9.999999747378752e-05,2.9510536193847656,0.8855525255203247,0.8099954724311829,0.5118534564971924,2.132014513015747,0.5303030014038086,0.45258620381355286
9,0.8865376114845276,4.999999873689376e-05,2.699650287628174,0.9170084595680237,0.8556956052780151,0.4601293206214905,1.8836346864700317,0.5098314881324768,0.39116379618644714
10,0.9092751145362854,4.999999873689376e-05,2.5649654865264893,0.9394447207450867,0.8836109638214111,0.4762931168079376,1.9106589555740356,0.5188284516334534,0.40086206793785095
