epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.1688399314880371,4.999999873689376e-05,1.536057949066162,0.2904290556907654,0.0791366919875145,0.11853448301553726,1.6342277526855469,0.1822916716337204,0.07543103396892548
1,0.1670418679714203,4.999999873689376e-05,1.4690680503845215,0.2923561930656433,0.08352093398571014,0.12176723778247833,1.5880542993545532,0.22054380178451538,0.07866379618644714
2,0.1692931056022644,4.999999873689376e-05,1.4124860763549805,0.3033885061740875,0.08667267113924026,0.1260775923728943,1.5351030826568604,0.26966291666030884,0.07758620381355286
3,0.1679423749446869,4.999999873689376e-05,1.4639047384262085,0.3069838881492615,0.09004952758550644,0.13254310190677643,1.4986869096755981,0.34020617604255676,0.07112068682909012
4,0.16411526501178741,4.999999873689376e-05,1.4360988140106201,0.2895148694515228,0.08329581469297409,0.12823276221752167,1.5326602458953857,0.31481480598449707,0.0732758641242981
5,0.16524088382720947,4.999999873689376e-05,1.4093488454818726,0.2959572970867157,0.08734804391860962,0.13038793206214905,1.5377312898635864,0.2481481432914734,0.0721982792019844
6,0.17244485020637512,4.999999873689376e-05,1.3694080114364624,0.29246002435684204,0.08644754439592361,0.1346982717514038,1.5097569227218628,0.2745901644229889,0.0721982792019844
7,0.17266996204853058,4.999999873689376e-05,1.322900414466858,0.30323055386543274,0.09297613799571991,0.1346982717514038,1.4925400018692017,0.29729729890823364,0.07112068682909012
8,0.17379558086395264,4.999999873689376e-05,1.4324058294296265,0.299613893032074,0.08734804391860962,0.13254310190677643,1.515937328338623,0.2211538404226303,0.07435344904661179
9,0.1692931056022644,4.999999873689376e-05,1.3906244039535522,0.3050847351551056,0.08914903551340103,0.1368534415960312,1.4672313928604126,0.2554744482040405,0.07543103396892548
