epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.693345308303833,9.999999747378752e-06,1.5668288469314575,0.5290948152542114,1.3253130912780762
1,0.6998651027679443,9.999999747378752e-06,1.5152560472488403,0.5323275923728943,1.3312844038009644
2,0.704811155796051,9.999999747378752e-06,1.533894658088684,0.524784505367279,1.3342349529266357
3,0.7016636729240417,9.999999747378752e-06,1.5130761861801147,0.53125,1.3246139287948608
4,0.7160521745681763,9.999999747378752e-06,1.5003662109375,0.524784505367279,1.3308992385864258
5,0.7189748287200928,9.999999747378752e-06,1.4714223146438599,0.5334051847457886,1.324297547340393
6,0.7259442210197449,9.999999747378752e-06,1.4505692720413208,0.5323275923728943,1.330615758895874
7,0.7401078939437866,9.999999747378752e-06,1.4095649719238281,0.5290948152542114,1.3276879787445068
8,0.7362859845161438,9.999999747378752e-06,1.4192650318145752,0.5463362336158752,1.3185197114944458
9,0.7410072088241577,9.999999747378752e-06,1.3974952697753906,0.5334051847457886,1.3212509155273438
10,0.7387589812278748,9.999999747378752e-06,1.393615484237671,0.537715494632721,1.3214136362075806
