epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.29159173369407654,9.999999747378752e-06,3.5886077880859375,0.29418104887008667,2.2001285552978516
1,0.30256640911102295,9.999999747378752e-06,3.5144810676574707,0.28125,2.294308662414551
2,0.3246285319328308,9.999999747378752e-06,3.3647398948669434,0.2920258641242981,2.2653563022613525
3,0.33273300528526306,9.999999747378752e-06,3.260190486907959,0.2909482717514038,2.124760389328003
4,0.3354344964027405,1.9999999949504854e-06,3.2633674144744873,0.3049568831920624,2.097325325012207
5,0.33746060729026794,1.9999999949504854e-06,3.2266643047332764,0.3028017282485962,2.0600359439849854
6,0.3347591161727905,1.9999999949504854e-06,3.2999324798583984,0.3114224076271057,2.0226666927337646
7,0.3419630825519562,1.9999999949504854e-06,3.252509117126465,0.31681033968925476,1.971503496170044
8,0.3311571478843689,4.0000000467443897e-07,3.252068042755127,0.3221982717514038,1.9347397089004517
9,0.3406123220920563,4.0000000467443897e-07,3.207746982574463,0.3211206793785095,1.936098337173462
10,0.3556956350803375,4.0000000467443897e-07,3.1794984340667725,0.3362068831920624,1.9026185274124146
11,0.3363349735736847,4.0000000467443897e-07,3.2341365814208984,0.32974138855934143,1.868408203125
