epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.27203238010406494,9.999999747378752e-06,5.0949177742004395,0.2898706793785095,3.418863296508789
1,0.26910972595214844,9.999999747378752e-06,4.9899001121521,0.2790948152542114,3.541696786880493
2,0.29046761989593506,9.999999747378752e-06,4.83651065826416,0.26831895112991333,3.575800895690918
3,0.3064298629760742,9.999999747378752e-06,4.704343795776367,0.26400861144065857,3.5740773677825928
4,0.32081833481788635,9.999999747378752e-06,4.630728244781494,0.26400861144065857,3.5556318759918213
5,0.33655574917793274,1.9999999949504854e-06,4.517145156860352,0.26400861144065857,3.550436019897461
6,0.3311600685119629,1.9999999949504854e-06,4.491173267364502,0.2618534564971924,3.5238804817199707
7,0.33363309502601624,1.9999999949504854e-06,4.49643087387085,0.26293104887008667,3.497706890106201
8,0.3309352397918701,1.9999999949504854e-06,4.5276713371276855,0.26508620381355286,3.4735989570617676
9,0.3426258862018585,1.9999999949504854e-06,4.465457439422607,0.2790948152542114,3.4547548294067383
10,0.33430755138397217,4.0000000467443897e-07,4.508045673370361,0.28125,3.4361767768859863
11,0.3309352397918701,4.0000000467443897e-07,4.462738037109375,0.28771552443504333,3.4173262119293213
12,0.3349820077419281,4.0000000467443897e-07,4.5126495361328125,0.2898706793785095,3.412677526473999
13,0.3439748287200928,4.0000000467443897e-07,4.493701934814453,0.29525861144065857,3.4039957523345947
14,0.34330037236213684,4.0000000467443897e-07,4.414990425109863,0.30711206793785095,3.3883683681488037
