epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.15692445635795593,1.9999999494757503e-05,4.097134590148926,0.2489224076271057,1.987308144569397
1,0.27900180220603943,1.9999999494757503e-05,3.3182408809661865,0.4094827473163605,1.6923552751541138
2,0.3486960530281067,1.9999999494757503e-05,2.9754433631896973,0.4762931168079376,1.5471923351287842
3,0.41276979446411133,1.9999999494757503e-05,2.738886833190918,0.4601293206214905,1.5245110988616943
4,0.43592625856399536,1.9999999494757503e-05,2.598715305328369,0.4698275923728943,1.4801461696624756
5,0.4602068364620209,1.9999999494757503e-05,2.4941985607147217,0.5096982717514038,1.4209786653518677
6,0.49752697348594666,1.9999999494757503e-05,2.423088312149048,0.5420258641242981,1.3833104372024536
7,0.5157374143600464,1.9999999494757503e-05,2.313443183898926,0.48383620381355286,1.4294720888137817
8,0.5332733988761902,1.9999999494757503e-05,2.237299919128418,0.5215517282485962,1.380393147468567
9,0.5411421060562134,1.9999999494757503e-05,2.16182541847229,0.5549569129943848,1.3175565004348755
10,0.5667715668678284,1.9999999494757503e-05,2.110684394836426,0.5021551847457886,1.3995773792266846
11,0.5737410187721252,1.9999999494757503e-05,2.023996353149414,0.53125,1.337719202041626
12,0.5953237414360046,1.9999999494757503e-05,1.9781417846679688,0.5215517282485962,1.3661831617355347
13,0.6036421060562134,1.9999999494757503e-05,1.9110937118530273,0.548491358757019,1.3086307048797607
14,0.6130845546722412,1.9999999494757503e-05,1.8609449863433838,0.5431034564971924,1.312903881072998
15,0.6297212243080139,1.9999999494757503e-05,1.8033294677734375,0.5334051847457886,1.3211530447006226
16,0.6434352397918701,1.9999999494757503e-05,1.7788645029067993,0.5581896305084229,1.2800203561782837
17,0.6623201370239258,1.9999999494757503e-05,1.6779512166976929,0.5161637663841248,1.3438113927841187
18,0.685251772403717,1.9999999494757503e-05,1.6392393112182617,0.5743534564971924,1.276872992515564
19,0.6969424486160278,1.9999999494757503e-05,1.5946165323257446,0.5226293206214905,1.324303150177002
20,0.7039118409156799,1.9999999494757503e-05,1.5403928756713867,0.5678879022598267,1.3057571649551392
21,0.7180755138397217,1.9999999494757503e-05,1.5301752090454102,0.5721982717514038,1.2909715175628662
22,0.7259442210197449,1.9999999494757503e-05,1.4627997875213623,0.5344827771186829,1.3546665906906128
23,0.7425809502601624,1.9999999494757503e-05,1.4130656719207764,0.5571120977401733,1.2954809665679932
24,0.7742805480957031,3.999999989900971e-06,1.3417309522628784,0.5635775923728943,1.3058311939239502
25,0.7706834673881531,3.999999989900971e-06,1.330137014389038,0.5603448152542114,1.309468388557434
26,0.7886690497398376,3.999999989900971e-06,1.2933144569396973,0.5668103694915771,1.2956160306930542
27,0.775404691696167,3.999999989900971e-06,1.299258828163147,0.5517241358757019,1.3044164180755615
28,0.7879946231842041,3.999999989900971e-06,1.2776994705200195,0.5721982717514038,1.3008959293365479
