epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.19964028894901276,1.9999999494757503e-05,3.886998414993286,0.3114224076271057,1.8172619342803955
1,0.2724820077419281,1.9999999494757503e-05,3.2038538455963135,0.3943965435028076,1.6576240062713623
2,0.34240108728408813,1.9999999494757503e-05,2.964068651199341,0.42349138855934143,1.6080940961837769
3,0.3898381292819977,1.9999999494757503e-05,2.765903949737549,0.46336206793785095,1.514352560043335
4,0.43817445635795593,1.9999999494757503e-05,2.6159188747406006,0.3987068831920624,1.543930172920227
5,0.46223020553588867,1.9999999494757503e-05,2.5055224895477295,0.48383620381355286,1.4792146682739258
6,0.482688844203949,1.9999999494757503e-05,2.3982229232788086,0.48275861144065857,1.439906358718872
7,0.5013489127159119,1.9999999494757503e-05,2.3151464462280273,0.4903017282485962,1.4129985570907593
8,0.5155125856399536,1.9999999494757503e-05,2.2984306812286377,0.5096982717514038,1.3946633338928223
9,0.537095308303833,1.9999999494757503e-05,2.1948299407958984,0.5366379022598267,1.3663710355758667
10,0.5514838099479675,1.9999999494757503e-05,2.166620969772339,0.5215517282485962,1.3616833686828613
11,0.5636240839958191,1.9999999494757503e-05,2.0705699920654297,0.5161637663841248,1.3219681978225708
12,0.5699190497398376,1.9999999494757503e-05,2.056239366531372,0.5215517282485962,1.3328315019607544
13,0.5984712243080139,1.9999999494757503e-05,1.9505797624588013,0.5075430870056152,1.342285394668579
14,0.6144334673881531,1.9999999494757503e-05,1.909030795097351,0.537715494632721,1.2839512825012207
15,0.6306204795837402,1.9999999494757503e-05,1.8328871726989746,0.548491358757019,1.2952767610549927
16,0.6362410187721252,1.9999999494757503e-05,1.8107792139053345,0.5711206793785095,1.3038588762283325
17,0.6515287756919861,1.9999999494757503e-05,1.7512074708938599,0.579741358757019,1.269394874572754
18,0.6555755138397217,1.9999999494757503e-05,1.7125016450881958,0.5441810488700867,1.290170431137085
19,0.6692895889282227,1.9999999494757503e-05,1.6697696447372437,0.5517241358757019,1.2992023229599
